"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf","score","rank"
"Josh Scobee","k",0,0,0,0,0,0,1,4,8,1,1,58,219
"Zach Miller","te",0,0,396,3,0,0,0,0,0,0,0,57.6,220
"Donald Brown","rb",417,1,93,0,0,0,0,0,0,0,0,57,221
"Michael Jenkins","wr",0,0,449,2,0,0,0,0,0,0,0,56.9,222
"Tony Scheffler","te",0,0,504,1,0,0,0,0,0,0,0,56.4,223
"Joseph Morgan","wr",0,0,379,3,0,0,0,0,0,0,0,55.9,224
"Beanie Wells","rb",234,5,24,0,0,0,0,0,0,0,0,55.8,225
"Brady Quinn","qb",19,0,0,0,1141,2,0,0,0,0,0,55.54,226
"Kendall Hunter","rb",371,2,60,0,0,0,0,0,0,0,0,55.1,227
"Alshon Jeffery","wr",0,0,367,3,0,0,0,0,0,0,0,54.7,228
"Doug Baldwin","wr",0,0,366,3,0,0,0,0,0,0,0,54.6,229
"Tiquan Underwood","wr",0,0,425,2,0,0,0,0,0,0,0,54.5,230
"Jeff Cumberland","te",0,0,359,3,0,0,0,0,0,0,0,53.9,231
"John Skelton","qb",4,0,0,0,1132,2,0,0,0,0,0,53.68,232
"Robert Turbin","rb",354,0,181,0,0,0,0,0,0,0,0,53.5,233
"Rashad Jennings","rb",283,2,130,0,0,0,0,0,0,0,0,53.3,234
"Rob Bironas","k",0,0,0,0,0,0,0,6,1,5,1,53,235
"Delanie Walker","te",0,0,344,3,0,0,0,0,0,0,0,52.4,236
"Rian Lindell","k",0,0,0,0,0,0,1,3,1,6,1,52,237
"Tony Moeaki","te",0,0,453,1,0,0,0,0,0,0,0,51.3,238
"Dexter McCluster","wr",0,0,452,1,0,0,0,0,0,0,0,51.2,239
"Shaun Draughn","rb",233,2,158,0,0,0,0,0,0,0,0,51.1,240
"James Casey","te",0,0,330,3,0,0,0,0,0,0,0,51,241
"Mario Manningham","wr",0,0,449,1,0,0,0,0,0,0,0,50.9,242
"Austin Pettis","wr",0,0,261,4,0,0,0,0,0,0,0,50.1,243
"Earl Bennett","wr",0,0,375,2,0,0,0,0,0,0,0,49.5,244
"Lawrence Tynes","k",0,0,0,0,0,0,0,1,1,7,1,48,245
"Rueben Randle","wr",0,0,298,3,0,0,0,0,0,0,0,47.8,246
"Travis Benjamin","wr",0,0,298,3,0,0,0,0,0,0,0,47.8,247
"Mike Goodson","rb",221,0,195,1,0,0,0,0,0,0,0,47.6,248
"Julian Edelman","wr",0,0,235,4,0,0,0,0,0,0,0,47.5,249
"Justin Forsett","rb",374,1,38,0,0,0,0,0,0,0,0,47.2,250
"Anthony McCoy","te",0,0,291,3,0,0,0,0,0,0,0,47.1,251
"Josh Brown","k",0,0,0,0,0,0,0,3,4,3,1,46,252
"Harry Douglas","wr",0,0,396,1,0,0,0,0,0,0,0,45.6,253
"Ronnie Hillman","rb",330,1,62,0,0,0,0,0,0,0,0,45.2,254
"Ben Tate","rb",279,2,49,0,0,0,0,0,0,0,0,44.8,255
"Garrett Graham","te",0,0,263,3,0,0,0,0,0,0,0,44.3,256
"Dustin Keller","te",0,0,317,2,0,0,0,0,0,0,0,43.7,257
"Stephen Hill","wr",0,0,252,3,0,0,0,0,0,0,0,43.2,258
"Peyton Hillis","rb",309,1,62,0,0,0,0,0,0,0,0,43.1,259
"Ryan Broyles","wr",0,0,310,2,0,0,0,0,0,0,0,43,260
"Jarius Wright","wr",0,0,310,2,0,0,0,0,0,0,0,43,261
"Riley Cooper","wr",0,0,248,3,0,0,0,0,0,0,0,42.8,262
"Aldrick Robinson","wr",0,0,237,3,0,0,0,0,0,0,0,41.7,263
"Rob Housler","te",0,0,417,0,0,0,0,0,0,0,0,41.7,264
"Chaz Schilens","wr",0,0,289,2,0,0,0,0,0,0,0,40.9,265
"Brandon Bolden","rb",274,2,11,0,0,0,0,0,0,0,0,40.5,266
"Cedric Benson","rb",248,1,97,0,0,0,0,0,0,0,0,40.5,267
"Cedric Peerman","rb",258,1,85,0,0,0,0,0,0,0,0,40.3,268
"Coby Fleener","te",0,0,281,2,0,0,0,0,0,0,0,40.1,269
"Louis Murphy","wr",0,0,336,1,0,0,0,0,0,0,0,39.6,270
"Mohamed Sanu","wr",0,0,154,4,0,0,0,0,0,0,0,39.4,271
"Jon Baldwin","wr",0,0,325,1,0,0,0,0,0,0,0,38.5,272
"Toby Gerhart","rb",169,1,155,0,0,0,0,0,0,0,0,38.4,273
"Tom Crabtree","te",0,0,203,3,0,0,0,0,0,0,0,38.3,274
"Montell Owens","rb",209,1,113,0,0,0,0,0,0,0,0,38.2,275
"T.J. Graham","wr",0,0,322,1,0,0,0,0,0,0,0,38.2,276
"Micheal Spurlock","wr",0,0,200,3,0,0,0,0,0,0,0,38,277
"Devery Henderson","wr",0,0,316,1,0,0,0,0,0,0,0,37.6,278
"Graham Gano","k",0,0,0,0,0,0,0,3,3,2,1,37,279
"Logan Paulsen","te",0,0,308,1,0,0,0,0,0,0,0,36.8,280
"Nate Burleson","wr",0,0,240,2,0,0,0,0,0,0,0,36,281
"Lamar Miller","rb",250,1,45,0,0,0,0,0,0,0,0,35.5,282
"Chris Ivory","rb",217,2,15,0,0,0,0,0,0,0,0,35.2,283
"Kirk Cousins","qb",3,0,0,0,466,4,0,0,0,0,0,34.94,284
"William Powell","rb",217,0,132,0,0,0,0,0,0,0,0,34.9,285
"Kellen Davis","te",0,0,229,2,0,0,0,0,0,0,0,34.9,286
"Montario Hardesty","rb",271,1,16,0,0,0,0,0,0,0,0,34.7,287
"James Starks","rb",255,1,31,0,0,0,0,0,0,0,0,34.6,288
"Dwayne Harris","wr",0,0,222,2,0,0,0,0,0,0,0,34.2,289
"Lance Ball","rb",158,1,61,1,0,0,0,0,0,0,0,33.9,290
"Armon Binns","wr",0,0,277,1,0,0,0,0,0,0,0,33.7,291
"Craig Stevens","te",0,0,275,1,0,0,0,0,0,0,0,33.5,292
"Kevin Smith","rb",134,1,79,1,0,0,0,0,0,0,0,33.3,293
"Santonio Holmes","wr",0,0,272,1,0,0,0,0,0,0,0,33.2,294
"Brad Smith","wr",0,0,152,3,0,0,0,0,0,0,0,33.2,295
"Charles Clay","te",0,0,212,2,0,0,0,0,0,0,0,33.2,296
"Jason Hanson","k",0,0,0,0,0,0,1,3,1,1,2,33,297
"Ryan Succop","k",0,0,0,0,0,0,0,4,1,1,2,33,298
"Robert Meachem","wr",0,0,207,2,0,0,0,0,0,0,0,32.7,299
"Jason Snelling","rb",63,0,203,1,0,0,0,0,0,0,0,32.6,300
"David Thomas","te",0,0,86,4,0,0,0,0,0,0,0,32.6,301
"Fred Davis","te",0,0,325,0,0,0,0,0,0,0,0,32.5,302
"Damian Williams","wr",0,0,324,0,0,0,0,0,0,0,0,32.4,303
"Nate Kaeding","k",0,0,0,0,0,0,1,3,0,4,0,32,304
"Evan Royster","rb",88,2,109,0,0,0,0,0,0,0,0,31.7,305
"Damaris Johnson","wr",0,0,256,1,0,0,0,0,0,0,0,31.6,306
"Delone Carter","rb",122,3,13,0,0,0,0,0,0,0,0,31.5,307
"Clay Harbor","te",0,0,186,2,0,0,0,0,0,0,0,30.6,308
"Ryan Lindley","qb",4,0,0,0,752,0,0,0,0,0,0,30.48,309
"Rashard Mendenhall","rb",182,0,62,1,0,0,0,0,0,0,0,30.4,310
"Jordan Shipley","wr",0,0,244,1,0,0,0,0,0,0,0,30.4,311
"Devin Hester","wr",0,0,242,1,0,0,0,0,0,0,0,30.2,312
"Billy Cundiff","k",0,0,0,0,0,0,0,1,3,3,0,30,313
"Michael Robinson","rb",49,0,126,2,0,0,0,0,0,0,0,29.5,314
"DuJuan Harris","rb",157,2,17,0,0,0,0,0,0,0,0,29.4,315
"Eddie Royal","wr",0,0,234,1,0,0,0,0,0,0,0,29.4,316
"Darrel Young","rb",60,0,109,2,0,0,0,0,0,0,0,28.9,317
"Jordan Cameron","te",0,0,226,1,0,0,0,0,0,0,0,28.6,318
"Ryan Grant","rb",132,2,34,0,0,0,0,0,0,0,0,28.6,319
"Chris Rainey","rb",102,2,60,0,0,0,0,0,0,0,0,28.2,320
"Kai Forbath","k",0,0,0,0,0,0,0,3,2,1,1,28,321
"Justin Medlock","k",0,0,0,0,0,0,0,2,3,2,0,28,322
"Brian Quick","wr",0,0,156,2,0,0,0,0,0,0,0,27.6,323
"Dante Rosario","te",0,0,95,3,0,0,0,0,0,0,0,27.5,324
"Jerome Simpson","wr",0,0,274,0,0,0,0,0,0,0,0,27.4,325
"LeGarrette Blount","rb",151,2,2,0,0,0,0,0,0,0,0,27.3,326
"Jorvorskie Lane","rb",13,2,79,1,0,0,0,0,0,0,0,27.2,327
"Kyle Williams","wr",0,0,212,1,0,0,0,0,0,0,0,27.2,328
"John Kuhn","rb",63,1,148,0,0,0,0,0,0,0,0,27.1,329
"Brandon Tate","wr",0,0,211,1,0,0,0,0,0,0,0,27.1,330
"Tashard Choice","rb",193,1,9,0,0,0,0,0,0,0,0,26.2,331
"Marvin Jones","wr",0,0,201,1,0,0,0,0,0,0,0,26.1,332
"Derek Hagan","wr",0,0,259,0,0,0,0,0,0,0,0,25.9,333
"Braylon Edwards","wr",0,0,199,1,0,0,0,0,0,0,0,25.9,334
"Mohamed Massaquoi","wr",0,0,254,0,0,0,0,0,0,0,0,25.4,335
"Laurent Robinson","wr",0,0,252,0,0,0,0,0,0,0,0,25.2,336
"LaVon Brazill","wr",0,0,186,1,0,0,0,0,0,0,0,24.6,337
