"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf"
"Ryan Lindley","qb",4,0,0,0,752,0,0,0,0,0,0
"Matt Leinart","qb",0,0,0,0,115,0,0,0,0,0,0
"Kellen Clemens","qb",2,0,0,0,39,0,0,0,0,0,0
"T.J. Yates","qb",2,1,0,0,38,0,0,0,0,0,0
"Ryan Mallett","qb",8,0,0,0,17,0,0,0,0,0,0
"Luke McCown","qb",2,0,0,0,0,0,0,0,0,0,0
"Josh Johnson","qb",0,0,0,0,0,0,0,0,0,0,0
"Tarvaris Jackson","qb",0,0,0,0,0,0,0,0,0,0,0
"Blair Walsh","k",0,0,0,0,0,0,0,1,8,7,1
"Matt Bryant","k",0,0,0,0,0,0,1,8,1,1,4
"Lawrence Tynes","k",0,0,0,0,0,0,0,1,1,7,1
"Jason Hanson","k",0,0,0,0,0,0,1,3,1,1,2
"Shayne Graham","k",0,0,0,0,0,0,1,8,1,7,4
"Sebastian Janikowski","k",0,0,0,0,0,0,1,9,1,5,6
"Justin Tucker","k",0,0,0,0,0,0,0,8,8,1,4
"Stephen Gostkowski","k",0,0,0,0,0,0,0,8,1,9,2
"Dan Bailey","k",0,0,0,0,0,0,1,5,1,7,3
"Phil Dawson","k",0,0,0,0,0,0,0,8,8,6,7
"David Akers","k",0,0,0,0,0,0,1,8,1,7,2
"Connor Barth","k",0,0,0,0,0,0,0,7,3,1,6
"Shaun Suisham","k",0,0,0,0,0,0,0,7,8,1,1
"Ryan Succop","k",0,0,0,0,0,0,0,4,1,1,2
"Alex Henery","k",0,0,0,0,0,0,0,8,8,1,0
"Adam Vinatieri","k",0,0,0,0,0,0,1,8,4,9,4
"Matt Prater","k",0,0,0,0,0,0,1,7,1,5,3
"Rob Bironas","k",0,0,0,0,0,0,0,6,1,5,1
"Jay Feely","k",0,0,0,0,0,0,0,6,9,8,2
"Josh Scobee","k",0,0,0,0,0,0,1,4,8,1,1
"Steven Hauschka","k",0,0,0,0,0,0,1,7,1,5,1
"Greg Zuerlein","k",0,0,0,0,0,0,1,4,4,7,7
"Dan Carpenter","k",0,0,0,0,0,0,0,3,9,8,2
"Robbie Gould","k",0,0,0,0,0,0,0,7,5,7,2
"Mason Crosby","k",0,0,0,0,0,0,0,5,5,9,2
"Rian Lindell","k",0,0,0,0,0,0,1,3,1,6,1
"Nick Folk","k",0,0,0,0,0,0,0,7,6,5,3
"Mike Nugent","k",0,0,0,0,0,0,2,5,5,6,1
"Nick Novak","k",0,0,0,0,0,0,1,5,6,4,2
"Garrett Hartley","k",0,0,0,0,0,0,0,9,4,2,3
"Kai Forbath","k",0,0,0,0,0,0,0,3,2,1,1
"Josh Brown","k",0,0,0,0,0,0,0,3,4,3,1
"Graham Gano","k",0,0,0,0,0,0,0,3,3,2,1
"Nate Kaeding","k",0,0,0,0,0,0,1,3,0,4,0
"Justin Medlock","k",0,0,0,0,0,0,0,2,3,2,0
"Billy Cundiff","k",0,0,0,0,0,0,0,1,3,3,0
"Olindo Mare","k",0,0,0,0,0,0,0,2,3,1,0
"John Potter","k",0,0,0,0,0,0,0,0,0,0,0
"Calvin Johnson","wr",0,0,1964,5,0,0,0,0,0,0,0
"Andre Johnson","wr",0,0,1598,4,0,0,0,0,0,0,0
"Brandon Marshall","wr",0,0,1508,11,0,0,0,0,0,0,0
"Demaryius Thomas","wr",0,0,1434,10,0,0,0,0,0,0,0
"Vincent Jackson","wr",0,0,1384,8,0,0,0,0,0,0,0
"Dez Bryant","wr",0,0,1382,12,0,0,0,0,0,0,0
"Reggie Wayne","wr",0,0,1355,5,0,0,0,0,0,0,0
"Wes Welker","wr",0,0,1354,6,0,0,0,0,0,0,0
"Roddy White","wr",0,0,1351,7,0,0,0,0,0,0,0
"A.J. Green","wr",0,0,1350,11,0,0,0,0,0,0,0
"Julio Jones","wr",0,0,1198,10,0,0,0,0,0,0,0
"Steve Smith","wr",0,0,1174,4,0,0,0,0,0,0,0
"Marques Colston","wr",0,0,1154,10,0,0,0,0,0,0,0
"Michael Crabtree","wr",0,0,1105,9,0,0,0,0,0,0,0
"Victor Cruz","wr",0,0,1092,10,0,0,0,0,0,0,0
"Brian Hartline","wr",0,0,1083,1,0,0,0,0,0,0,0
"Eric Decker","wr",0,0,1064,13,0,0,0,0,0,0,0
"Stevie Johnson","wr",0,0,1046,6,0,0,0,0,0,0,0
"Lance Moore","wr",0,0,1041,6,0,0,0,0,0,0,0
"Mike Williams","wr",0,0,996,9,0,0,0,0,0,0,0
"Cecil Shorts","wr",0,0,979,7,0,0,0,0,0,0,0
"Randall Cobb","wr",0,0,954,9,0,0,0,0,0,0,0
"Miles Austin","wr",0,0,943,6,0,0,0,0,0,0,0
"Anquan Boldin","wr",0,0,921,4,0,0,0,0,0,0,0
"Brandon Lloyd","wr",0,0,911,4,0,0,0,0,0,0,0
"Justin Blackmon","wr",0,0,865,5,0,0,0,0,0,0,0
"T.Y. Hilton","wr",0,0,861,8,0,0,0,0,0,0,0
"Jeremy Maclin","wr",0,0,857,7,0,0,0,0,0,0,0
"Torrey Smith","wr",0,0,855,8,0,0,0,0,0,0,0
"Mike Wallace","wr",0,0,836,8,0,0,0,0,0,0,0
"Jeremy Kerley","wr",0,0,827,3,0,0,0,0,0,0,0
"Malcom Floyd","wr",0,0,814,5,0,0,0,0,0,0,0
"Josh Gordon","wr",0,0,805,5,0,0,0,0,0,0,0
"Dwayne Bowe","wr",0,0,801,3,0,0,0,0,0,0,0
"Larry Fitzgerald","wr",0,0,798,4,0,0,0,0,0,0,0
"Antonio Brown","wr",0,0,787,5,0,0,0,0,0,0,0
"James Jones","wr",0,0,784,14,0,0,0,0,0,0,0
"Donnie Avery","wr",0,0,781,3,0,0,0,0,0,0,0
"Davone Bess","wr",0,0,778,1,0,0,0,0,0,0,0
"Andre Roberts","wr",0,0,759,5,0,0,0,0,0,0,0
"Sidney Rice","wr",0,0,748,7,0,0,0,0,0,0,0
"Nate Washington","wr",0,0,746,4,0,0,0,0,0,0,0
"Jordy Nelson","wr",0,0,745,7,0,0,0,0,0,0,0
"Denarius Moore","wr",0,0,741,7,0,0,0,0,0,0,0
"DeSean Jackson","wr",0,0,700,2,0,0,0,0,0,0,0
"Chris Givens","wr",0,0,698,3,0,0,0,0,0,0,0
"Hakeem Nicks","wr",0,0,692,3,0,0,0,0,0,0,0
"Brandon Gibson","wr",0,0,691,5,0,0,0,0,0,0,0
"Golden Tate","wr",0,0,688,7,0,0,0,0,0,0,0
"Brandon LaFell","wr",0,0,677,4,0,0,0,0,0,0,0
"Percy Harvin","wr",0,0,677,4,0,0,0,0,0,0,0
"Danny Amendola","wr",0,0,666,3,0,0,0,0,0,0,0
"Danario Alexander","wr",0,0,658,7,0,0,0,0,0,0,0
"Jason Avant","wr",0,0,648,0,0,0,0,0,0,0,0
"Greg Little","wr",0,0,647,4,0,0,0,0,0,0,0
"Pierre Garcon","wr",0,0,633,4,0,0,0,0,0,0,0
"Emmanuel Sanders","wr",0,0,626,1,0,0,0,0,0,0,0
"Kendall Wright","wr",0,0,626,4,0,0,0,0,0,0,0
"Darrius Heyward-Bey","wr",0,0,606,5,0,0,0,0,0,0,0
"Kenny Britt","wr",0,0,589,4,0,0,0,0,0,0,0
"Rod Streater","wr",0,0,584,3,0,0,0,0,0,0,0
"Santana Moss","wr",0,0,573,8,0,0,0,0,0,0,0
"Domenik Hixon","wr",0,0,567,2,0,0,0,0,0,0,0
"Michael Floyd","wr",0,0,562,2,0,0,0,0,0,0,0
"Brandon Stokley","wr",0,0,544,5,0,0,0,0,0,0,0
"Leonard Hankerson","wr",0,0,543,3,0,0,0,0,0,0,0
"Andrew Hawkins","wr",0,0,533,4,0,0,0,0,0,0,0
"Kevin Walter","wr",0,0,518,2,0,0,0,0,0,0,0
"Joshua Morgan","wr",0,0,510,2,0,0,0,0,0,0,0
"Dexter McCluster","wr",0,0,452,1,0,0,0,0,0,0,0
"Michael Jenkins","wr",0,0,449,2,0,0,0,0,0,0,0
"Mario Manningham","wr",0,0,449,1,0,0,0,0,0,0,0
"Donald Jones","wr",0,0,443,4,0,0,0,0,0,0,0
"Kevin Ogletree","wr",0,0,436,4,0,0,0,0,0,0,0
"Randy Moss","wr",0,0,434,3,0,0,0,0,0,0,0
"Tiquan Underwood","wr",0,0,425,2,0,0,0,0,0,0,0
"Jacoby Jones","wr",0,0,406,4,0,0,0,0,0,0,0
"Harry Douglas","wr",0,0,396,1,0,0,0,0,0,0,0
"Titus Young","wr",0,0,383,4,0,0,0,0,0,0,0
"Joseph Morgan","wr",0,0,379,3,0,0,0,0,0,0,0
"Earl Bennett","wr",0,0,375,2,0,0,0,0,0,0,0
"Alshon Jeffery","wr",0,0,367,3,0,0,0,0,0,0,0
"Greg Jennings","wr",0,0,366,4,0,0,0,0,0,0,0
"Doug Baldwin","wr",0,0,366,3,0,0,0,0,0,0,0
"Louis Murphy","wr",0,0,336,1,0,0,0,0,0,0,0
"Jon Baldwin","wr",0,0,325,1,0,0,0,0,0,0,0
"Damian Williams","wr",0,0,324,0,0,0,0,0,0,0,0
"T.J. Graham","wr",0,0,322,1,0,0,0,0,0,0,0
"Devery Henderson","wr",0,0,316,1,0,0,0,0,0,0,0
"Ryan Broyles","wr",0,0,310,2,0,0,0,0,0,0,0
"Jarius Wright","wr",0,0,310,2,0,0,0,0,0,0,0
"Rueben Randle","wr",0,0,298,3,0,0,0,0,0,0,0
"Travis Benjamin","wr",0,0,298,3,0,0,0,0,0,0,0
"Chaz Schilens","wr",0,0,289,2,0,0,0,0,0,0,0
"Armon Binns","wr",0,0,277,1,0,0,0,0,0,0,0
"Jerome Simpson","wr",0,0,274,0,0,0,0,0,0,0,0
"Santonio Holmes","wr",0,0,272,1,0,0,0,0,0,0,0
"Austin Pettis","wr",0,0,261,4,0,0,0,0,0,0,0
"Derek Hagan","wr",0,0,259,0,0,0,0,0,0,0,0
"Damaris Johnson","wr",0,0,256,1,0,0,0,0,0,0,0
"Mohamed Massaquoi","wr",0,0,254,0,0,0,0,0,0,0,0
"Stephen Hill","wr",0,0,252,3,0,0,0,0,0,0,0
"Laurent Robinson","wr",0,0,252,0,0,0,0,0,0,0,0
"Riley Cooper","wr",0,0,248,3,0,0,0,0,0,0,0
"Jordan Shipley","wr",0,0,244,1,0,0,0,0,0,0,0
"Devin Hester","wr",0,0,242,1,0,0,0,0,0,0,0
"Nate Burleson","wr",0,0,240,2,0,0,0,0,0,0,0
"Aldrick Robinson","wr",0,0,237,3,0,0,0,0,0,0,0
"Julian Edelman","wr",0,0,235,4,0,0,0,0,0,0,0
"Eddie Royal","wr",0,0,234,1,0,0,0,0,0,0,0
"Clyde Gates","wr",0,0,224,0,0,0,0,0,0,0,0
"Dwayne Harris","wr",0,0,222,2,0,0,0,0,0,0,0
"Ramses Barden","wr",0,0,220,0,0,0,0,0,0,0,0
"Kyle Williams","wr",0,0,212,1,0,0,0,0,0,0,0
"Brandon Tate","wr",0,0,211,1,0,0,0,0,0,0,0
"Robert Meachem","wr",0,0,207,2,0,0,0,0,0,0,0
"Early Doucet","wr",0,0,207,0,0,0,0,0,0,0,0
"Jerricho Cotchery","wr",0,0,205,0,0,0,0,0,0,0,0
